adcode,name,type,area_km2,source_codes,geometry_method
410225001,兰阳街道,街道,27.1298,410225100|410225200,参考图重分割
410225002,桐乡街道,街道,47.9294,410225200|410225201,参考图重分割
410225003,惠安街道,街道,54.5499,410225200,参考图重分割
410225101,堌阳镇,镇,66.58,410225101,沿用原边界
410225102,南彰镇,镇,74.6436,410225102,沿用原边界
410225103,考城镇,镇,125.4244,410225103,沿用原边界
410225104,红庙镇,镇,63.735,410225104,沿用原边界
410225105,谷营镇,镇,109.5188,410225204|410225203,原谷营乡与爪营乡合并
410225106,东坝头镇,镇,77.4617,410225202,沿用原边界
410225107,小宋镇,镇,74.2911,410225205,沿用原边界
410225108,仪封镇,镇,96.7306,410225210,沿用原边界
410225109,许河镇,镇,42.743,410225207,沿用原边界
410225201,三义寨乡,乡,87.1661,410225201,参考图校正东界
410225206,孟寨乡,乡,37.6701,410225206,沿用原边界
410225208,葡萄架乡,乡,49.9206,410225208,沿用原边界
410225209,闫楼乡,乡,38.0448,410225209,沿用原边界
